,title,genres
336,Frozen II,"Family, Animation, Adventure, Comedy, Fantasy"
337,Star Wars: The Rise of Skywalker,"Adventure, Action, Science Fiction"
338,Into the Wild,"Adventure, Drama"
339,Trainspotting,"Drama, Crime"
340,X-Men: The Last Stand,"Adventure, Action, Science Fiction, Thriller"
341,The Wolverine,"Action, Science Fiction, Adventure, Fantasy"
342,Hidden Figures,"Drama, History"
343,Hancock,"Fantasy, Action"
344,How to Train Your Dragon 2,"Fantasy, Action, Adventure, Animation, Comedy, Family"
345,Mulan,"Animation, Family, Adventure"
346,Snowpiercer,"Action, Science Fiction, Drama"
347,Sonic the Hedgehog,"Action, Science Fiction, Comedy, Family"
348,Independence Day,"Action, Adventure, Science Fiction"
349,Million Dollar Baby,Drama
350,The Greatest Showman,Drama
351,Shazam!,"Action, Comedy, Fantasy"
352,Fantastic Four,"Action, Adventure, Fantasy, Science Fiction"
353,Aliens,"Action, Thriller, Science Fiction"
354,Tenet,"Action, Thriller, Science Fiction"
355,Jojo Rabbit,"Comedy, War, Drama"
356,District 9,Science Fiction
357,Howl's Moving Castle,"Fantasy, Animation, Adventure"
358,Room,"Drama, Thriller"
359,Home Alone 2: Lost in New York,"Comedy, Family, Adventure"
360,The Da Vinci Code,"Thriller, Mystery"
361,The Bourne Identity,"Action, Drama, Mystery, Thriller"
362,The Twilight Saga: New Moon,"Adventure, Fantasy, Drama, Romance"
363,Encanto,"Animation, Comedy, Family, Fantasy"
364,Unbreakable,"Thriller, Drama, Mystery"
365,Star Trek Into Darkness,"Action, Adventure, Science Fiction"
366,The Batman,"Crime, Mystery, Thriller"
367,A Bug's Life,"Adventure, Animation, Comedy, Family"
368,xXx: Return of Xander Cage,"Action, Adventure, Crime"
369,Cruella,"Comedy, Crime"
370,Indiana Jones and the Temple of Doom,"Adventure, Action"
371,Watchmen,"Action, Mystery, Science Fiction"
372,The Nightmare Before Christmas,"Fantasy, Animation, Family"
373,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy"
374,Alita: Battle Angel,"Action, Science Fiction, Adventure"
375,365 Days,"Romance, Drama"
376,Godzilla,"Action, Drama, Science Fiction"
377,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Fantasy, Drama, Romance"
378,The Pianist,"Drama, War"
379,The Mummy,"Adventure, Action, Fantasy"
380,Saw,"Horror, Mystery, Crime"
381,The Big Short,"Comedy, Drama"
382,Shrek the Third,"Fantasy, Adventure, Animation, Comedy, Family"
383,Snatch,"Crime, Comedy"
384,We're the Millers,"Comedy, Crime"
385,The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Fantasy, Romance"
386,The Twilight Saga: Eclipse,"Adventure, Fantasy, Drama, Romance"
387,Elysium,"Science Fiction, Action, Drama, Thriller"
388,Corpse Bride,"Romance, Fantasy, Animation"
389,Mission: Impossible - Rogue Nation,"Action, Adventure"
390,The King's Speech,"Drama, History"
391,The Equalizer,"Thriller, Action, Crime"
392,Ghostbusters,"Comedy, Fantasy"
393,The Hangover Part III,Comedy
394,Mission: Impossible,"Adventure, Action, Thriller"
395,To All the Boys I've Loved Before,"Comedy, Romance"
396,Hotel Transylvania,"Animation, Comedy, Family, Fantasy"
397,San Andreas,"Action, Drama, Thriller"
398,War for the Planet of the Apes,"Drama, Science Fiction, War"
399,It Chapter Two,"Horror, Fantasy"
400,Annihilation,"Science Fiction, Horror"
401,Minority Report,"Action, Thriller, Science Fiction, Mystery"
402,Dallas Buyers Club,"Drama, History"
403,Doctor Strange in the Multiverse of Madness,"Fantasy, Action, Adventure"
404,Transformers: Revenge of the Fallen,"Science Fiction, Action, Adventure"
405,Jumanji: The Next Level,"Adventure, Comedy, Fantasy"
406,Mean Girls,Comedy
407,Solo: A Star Wars Story,"Science Fiction, Adventure, Action"
